,response
student_133,"It made me feel really guilty that my decisions can take 31 hours off of another persons life, BUT I do not feel like it is justified to put the blame on me or any average person. It is effective in communicating the issue, it shows that environmental impacts can affect human populations, but it puts the blame on us when in reality it is much harder for one single person to change their answers, when this is the global system provided to us. Yes, perhaps taking a long flight or eating chicken breast will damage the environment and another person, but what about the 2000 flights coming out of every single international airport in the world? Isn't THAT taking millions of hours off of people's lives? The test is effective in showing environmental damage but I wish it didn't target the consumer when there should be major changes at government/global system/IGO level.  "
student_134,My answers said my decision would take 6.64 hours off someone else's life. I think this is an effective way to show the impacts your choices have because you see how they are potentially affecting innocent people. I could improve by making decisions that have less of an environmental impact.  
student_135,I think this quiz is eye-opening on how such little one-time decisions can effect one's whole life. It made me realize how much more I could be doing to save the environment. I think an effective way to communicate this issue is to remind people every single time they are faced with a decision that could take time off someone's life. I think this could be improved by the public being educated on the decisions they are making and the impact it has on the numerous factors of the environment. 
student_136,"I think the quiz puts my lifestyle choices into perspectives. My results were 16.24 hours off of someone else's life most likely in sub-saharan Africa or south Asia. It made me feel depressed honestly knowing the cost of my resource demand impacts someone else's life that insanely much. An effective way to communicate this issue would be to find a new way to enjoy those parts of life that I was offered the choice in, and finding a more sustainable way to upkeep other people in other lower-income countries so they don't have to pay for higher-income resource demands.  "
student_137,"It made me curious how picking chicken, driving a distance unworkable, and taking a flight I don't take, took 38.8 hours off someone's life. Also, hearing that you took hours off someone's life also makes you feel a little guilty.    This is an effective way because it makes you stop and think about your consumption and how it actually affects someone's life.  Quiz was great! Short, informative, and got to the point.  "
student_138,"not very suprised that steak is the worst choice, trains make sense as a good mode of transport. I'm not sure guilt shaming people is the way to go to convince people to change "
student_139,"This surprised me a lot knowing how much small decisions impact others. It made me feel very uneducated, that when I make these decisions someone else can be harmed. What could be improved is getting myself more educated on my own actions. I think this was a good exercise because it makes us aware of the impact of human careless actions.  "
student_140,"I think that this quiz is a good way to find perspective on how other parts of the world are affected by someone's actions. Everything on Earth is really connected and it made me feel shocked. I think it is an effected way to communicate this issue because it's something that everyone can understand. They are easy questions with quick results that a lot of people can understand. For how quick and to the point the quiz was, I don't think there was much to be improved. It had a good point that is impactful to a large majority of people.  "
student_141,"It was actually shocking. I know that my lifestyle as an American directly impacts other people and our climate as a whole, but it was crazy to think that I am directly limiting someone's life through mt own. It was very effective, I just wanted to see what the best choices were afterwards. "
student_142,"The quiz made me feel like my footprint is excessively taxing on the environment and life on Earth in general. This is an effective way to communicate this issue because the notion of taking hours away from other humans' lives resonates with me deeply, as there is an emotional connection to my peers, making this quiz a brutally effective way to open my eyes to this problem. I can improve my daily conscious decisions such as what I eat and how I transport. "
student_143,"my results: Food: Tuna is the 4th best optionTransport: Train is the 3rd best optionFlight: London-New York is the 4th best optionYour choices took 16.2 hours off someone else's life due to negative impacts of climate change. This person likely resides in South Asia or Sub-Saharan Africa. How did it make you feel? This made me feel very weird, as it is not something you are often directly told- it is scary to think about how such a small decision, like the food i choose to eat at dinner, could take time away from someone else's life. It definitely made me more aware of the impact of those small decisions that many think are insignificant.  Was it an effective way to communicate this issue? Yes, very, mostly because it is intimidating and scary to think about. it makes you feel person guilt for your lifestyle, and makes you want to change things about your choices.  What could be improved? By explaining more thoroughly exactly how it is taking time off of this persons life.  "
student_145,"this was definitely shocking to see, I do question how accurate this survey really is, I don't understand why the correlation of if I eat chickpeas or cheddar cheese would cause someone to have a shorter life but if it is true, yes It does give me incentive to change my lifestyle choices a bit.  "
student_146,It made me feel bad because its very easy to choose these options without thinking about the impact of them. I think it was an effective way to communicate the issue because it puts your choices into perspective. I think the amount of travel and way of travel could be improved.  
student_147,I think it is crazy surpassing how those choices can change others lives so significantly.  I think it is an effective way to communicate this issue as it is such a massive issue on the globe. I think one thing that could be improved is add a few more questions to make the hours more accurate. 
student_148,"How did it make you feel? This activity made me realize how my choices impact others around the world who don't have enough to survive or are in poverty. It made me sad that I can't do much because of our global problem.  Was it an effective way to communicate this issue? It invokes a decent amount of guilt, so yes, even though I think that isn't always the best strategy for persuasion and action.  What could be improved? I think it could go more into diet info, your daily action, and views. It is just three questions and more would be helpful.  "
student_149,"I think it is very interesting that my life choices would have that significant of an impact on someone else's life. It made me feel somewhat guilty that I am passively having a negative impact on someone's life. Yes, it is interesting to see what 3 small actions could do to someone. I could make better actions to prevent impacting someone else. "
student_150,"I really liked how effective it was because it opened up my eyes to how much a gas car can effect the environment, even though I am only one person, my footprint can still be very large. It made me feel that I should change my habits and choose different options now that I know the impact directly. I think the quiz shows pathos which is very strong.  "
student_151,"I think that the way the results are shown as using hours off of someone's life and then attributing to the place they live is a good, but aggressive way to show the impact. I think it drove the meaning of the quiz harder than something else would. I think it is an effective way for the most part but some people will see it who are in a situation where they cant change things such as how to navigate 100km could be filled with guilt making it harsh on some.  "
student_152,"My results made me feel like I want to do better for the rest of the world. I chose to use a car which was the worst option, in college its easier to walk and bike but I want to implement this more when I go back home and have access to my car. This was a very effective way to convey the issue.  "
student_153,I didn't realize how much impact such small things could have on other peoples lives. I feel like guilty about my choices and how they could effect others. I think this little quiz was a very effective way to show how small things have a big impact. I think one way to improve this issue would be more education about how much impact different resources have on the environment.  
student_154,"It is very shocking learning about this, I didn't know that everyday decisions could have a large impact on someone's life. This makes me feel more inclined to make better decisions for my environment. In this way of how i learned i am a bit confused on how these few decisions can take away from someone else's life, but i do get it in a way of environmental impact can affect lower class countries. But it still gives me an incentive to change my lifestyle choices.  "
student_155,"This quiz made produced a wave of anxiety that my choices have such a negative impact on someone's life. It is effective in making the problem known, but I don't think that making people feel bad about their decisions is the best way to communicate problems. It can be improved by providing the information differently than hours off of someone's life.  "
student_156,After taking the quiz it made me realize how many of my daily choices can lower someone's life span by hours at a time. Because of this I will be more conscious of the decision I make and how they can affect other people. I think the human calculator is a great way to communicate how personal carbon emissions can affect someone else's life. I think it could be improved by having more options to choice from and overall be a longer quiz with more questions so it can relate to more people. 
student_157,"I thought it was an interesting quiz, but I would like to learn a bit more about the flight connection question! I understand emissions but maybe if there’s more to it, i’d like to know.   My initial reaction was, “that was an aggressive way of showing my impact” saying how many hours i’ve taken from someone’s life, but then I realized that is the point and it is aggressive - that’s why we should care.  I think it was very effective, yes.  I think maybe a little more of an explanation post quiz could help.   "
student_158,"I didn't know simple choices such as a meal could so drastically impact another person's life. It made me feel more aware, especially after picking a petrol car as a means of transport as that was my most impactful choice. I believe it was as it truly puts a sensible number on your actions and the impacts they have. I think a longer quiz with more options and questions could truly give some people insights into their lifestyle choices and how they affect others that they will never interact with or see.  "
student_159,"My immediate thoughts are how alarming simple choice that are made (mostly) daily can impacts someone else's timeline. This quiz does not sit very well with me as it might be hard to change some of these choices just by myself. Yes this quiz was definitely an effective way to communicate this issue as the simple number of how many hours were taken off of someone's life has really stuck with me. To be improved, I would be interested in researching more on this topic and using the article and quiz as a starting point.  "
student_160,I think that conveying information about toxicity and the usefulness of substances via quiz is a great way to encourage people to closely read and attempt to understand the information. After reading the information and taking the quiz I felt like my knowledge had been expanded on and reinforced. My suggestions for improvement are formatting the quiz in an interactive format where individuals can click on the answer they believe to be correct and then receive feedback on their response.  
student_161,This quiz brought to my attention the effects of climate that also affect other people. I think it was an effective way to communicate the issue. I think that the flight could be from the location that your computer is as opposed from a random location to a random location.  
student_162,"It made me sad. I chose the options that I would realistically do in everyday life and it's sad that I contribute heavily to climate issues. I think this calculator was good for recognizing what I could improve in my life. I think it was effective, It was quick and straight forward which is what people need to hear just the raw truth. "
student_163,I think that this quiz gives me a lot of perspective on my own life and how some of my choices impact the rest or the world. It makes me realize that I should make some more sustainable choices. It was definitely effective because it put it into perspective the negative repercussions of my lifestyle. It could have more questions.  
student_164,"Food: Chicken breast is the 3rd best optionTransport: Train is the 3rd best optionFlight: London-New York is the 4th best option It made me feel guilty. Yes, this quiz was effective in communicating this issue. I could improve my protein choices and transportation choices. "
student_165,"It made me rethink my choices and how they impact the environment.   I dont think it is an effective way to communicate the issue because the choices of food were very limited to part of dished such as cheese or lamb or tune, it would be better if you stated food items such as hamburger or salad or grilled cucumber. and for the flights it is very hard to make an acurate choice of which one you would pick. I think all of this adds up as something we cant think about how we impact the world its more of these options that were there would impact the world. so it doesnt really make me reflect on my daily choices. what could be improved are more specificaly daily things we do that impact. such as charging your phone or using your laptop or pc. something that a normal person wouldnt think impact the world on a large scale. but this message is very hard to pass through and make people actualy reflect and reconcider "
student_166,Seeing how my actions and decisions for myself negatively affect someone else's life made me realize i should start to be more aware of my actions.  Yes this is an effective way because seeing how your actions impact someone else's may changes someones mindset I feel like the flight question should be more relative for people because there was only one option in there that i would fly 
student_168,This made me feel really guilty because I know for a fact that even though I took 13.54 hours off someones life it could've been more had I chosen different options. This was an effective way to communicate issues due to how much it shocks you and how bad you feel after. It really puts attention on issues that we need to know about.  
student_169,I thought it was interesting that it calculates the percentage of someones life taken just by the choices you make  2. it made me feel sad for whoever would die but at the same time neutral because I wont know the person and its not realistic  3.yes it was an easy quiz fun questions with great information learned  4.the website and the questions i thought it was weird you drag the box down to asnwer question  5. 
student_170,"It made me feel sad that my own choices took time off of someone else's life. I didn't even consider this as a possibility, that my own choices could hurt someone that much. Even though it was obviously not on purpose, it still hurt me to see this. It was shocking but a very quick and effective way for me to understand how my choices impact others. I think the shock factor is the most important part of this quiz, since it really makes you think.  "
student_171,"I think it's a really weird concept because you're never just getting something from one place, you're always getting it from someone who got the materials from someone on and it's such a big confusing cycle for just one item. This honestly makes me feel sad because people have become so materialistic to the point where even after reading this, I bet some people wouldn't even care about the process, as long as they get what they need. I think the best way to really communicate this phenomenon is to just promote smaller businesses who are genuinely giving out good quality, homemade products that you can genuinely trust. I think in general, large productions should all be improved especially when some bigger companies are known to use child labor just to get their materials out. Overall, it's a very strange situation and its weird how many different places something will go to before you have it. "
student_172,"My choices took 16.72 hours off of someones life, thats really scary to think about but these are choices that i probably will continue to make. I would maybe choose public transport instead of a car "
student_173,This made me feel sad and aware because the statistic I was given that the steak I eat for dinner cuts 17 hours off the life of others due to the effects it has on climate change. I think it is a very eye opening quiz and results which was effective in communicating the effects and har. I think a little more detail to how it is cutting 17 hours off of lives of others would be an improvement that could be made. 
student_174,"I thought it was interesting to know how different choices affect people. Eating and transportation decisions are very important. The quiz made me feel bad about my like decisions as I took about an hour off someones life. Yes it was, some ways to improve was also very helpful. More questions could help the survey be more accurate.  "
student_175,"I think because I didn't put in an answer for the last question my answer wasn't as bad but if I were it would definitely have a bigger impact on me. I am only saying this because I got 42 minutes off someone's life. Honestly I think this was good to show people the impact they have on others, and since it was a quick three questions it didn't impact any of my time. I think the impact that flying has on people and the environment is insane and if anything were to be improved it should be the affect airplanes have on the planet.  "
student_176,I took almost 40 hours off of someone's life which made me feel a little upset because I didn't think that I was that bad. I think it was but the simplicity of it kind of makes the results not as 100% believable.  I have to eat better foods and be resourceful in transportation.  
student_177,"1.) I liked it, it made me think a bit more about the consequences and benefits of my choices, weighing them against each other, and thinking of possible solutions to it. 2.) Well I learned that I don't make the worst choices in terms of travel, but not the best either. 3.) Yes it is, directly saying you took time off of someone else's life due to climate change makes it feel like a lot more of an impact. 4.) My food choice was eggs which I think is fine, I should probably take a train or bus instead of an electric car, and I should probably pick a different airline connection then London-New York. "
student_180,This quiz made me feel like although my life choices are not much different than my peers it might be best to not compare myself to others and rather focus on what I can do to reduce my ecological footprint. I think this was an effected way to communicate the issue as it gives you real facts and data. I can try to use public transportation and eat less meat to reduce my footprint.  
student_181,"It made me feel more aware about the environmental impacts of my choices, but also made me confused about how some of my choices have such a high impact. I think this was an effective way to communicate the issue, but I feel like it could provide more explanation on the downsides to each option. "
student_182,"The response I got was ""Your choices took 40.2 minutes off someone else's life due to negative impacts of climate change"".  This does not make me feel horrible about my choices because I try and be mindful of the decisions I make but it also doesnt make me feel great.  I think I could try and drive less.  "
student_183,It made me feel guilty for the decisions I make. It also made me reevaluate how I can do better for the world around me. I think this is a very effective way to communicate this issue because it's plain and simple. If a picture of the person or thing your killing was on the screen when getting results.  
student_184,I thought that the quiz was definitely an interesting and effective way to make me confront the consequences of my actions and the impact that they have on the environment and other people. I think that tools like this that make those of us who don't really have to think about the things we do everyday (like ordering food or taking a trip) really examine our choices serve an important purpose. 
student_185,"Food: Chicken breast is the 3rd best optionTransport: Electric Car is the 4th best optionFlight: London-New York is the 4th best optionYour choices took 16.24 hours off someone else's life due to negative impacts of climate change. This person likely resides in South Asia or Sub-Saharan Africa   Knowing that I picked relatively good options, and still took 16 hours off of someone's life is a terrible realization to make. The flight, I did choose pretty randomly thinking that it would be a close flight and not knowing much else, but it is a scary thought to have.    This was an effective way to communicate because it really put into prospective how my first world choices affect others live in real time.  I would change my choices in retrospect. I would improve what I could to save a life. "
student_186,"1. I think that it was a little eye opening to know that the decisons that I think are positive for the environment are still negatively effecting someones life because of my consumption, it's not the absolute worst, but still not great.2. I think it was an effective way to communicate this issue 3. I also think that the questions could be a little more specific and relevent to everyday life, how many times does a person eat out a week, or fly from nyc to London. What about everyday dinner options or driving to the grocery store. "
student_187,I don't think this quiz is a proper judgement at all. I don't do long flights so I picked a random one. I do think it is cool that we have a way to guesstimate and inform people on decision in a quick quiz. more questions and more reasonable questions that we do daily.  
student_188,"Assuming this assignment is regarding the VizHub health data website, I feel this is a very useful and educational resource to help people like us, in first world countries, understand how disease can differ and affect countries that aren't the US. I do feel it is an effective way to communicate the issue of EID's, as it showcases how developing countries can be facing entirely different problems health wise than some place like America. I think what could be improved is more explanation on terms like DALY, it seems that this website could only be fully useful to somebody well-versed in healthcare speak, which is not the majority of people. I had to look up various terms included in this website as I did not know what they were. But it 100% put in perspective how different places deal with health issues differently in the world.  "
student_189,"I think it's interesting how decisions I made with only two to three seconds of thought has over 13 hours off of someone else's life. I think me and most of the people in this room are very privileged in the fact that we don't think about these things often because we are in a position where we don't need to. It made me feel shocked, but also not surprised because I sort of already knew that decisions we make in general have impact. I think this was effective but also was sort of just an attention grabber without adding much other additional explanations and such.  "
student_190,"I chose the first best options for two of the questions, however, I still took off 6 hours of someones life in areas like regions of Africa. This was a highly highly effective way to communicate the implications of our actions as the result of the quiz shocked me. I think a way this could be improved is a list of results for the best things that people could do if they chose the last or closer to worst options on their questions so that they can change their actions in the future.  "
student_191,"It was an alarming result. It forced me to think about everyday decisions and how big of an impact they actually have. People tend to move through their life, making these constant decisions and not realizing how much they can affect someone. Yes, it was an effective way to communicate these issues because it addresses things we choice to do every day and showed us real statics of its impacts. What could be improved would be showing better options for these decisions and showing why certain decisions are worse than other (giving more facts). "
student_192,"The quiz was interesting because it puts the individual in the place of being a killer. Often people (even as I write this I'm referring to ""people"" and ""individuals"" rather than myself) are able to become desensitized to issues because it is impersonal- they are not the problem, the system is. But, looking at my decisions, I see I am a part of the problem. It is not societies fault, I am society, therefore it is my fault. This comes with issues as the blame can be placed on lower-class individuals for not making change, while not holding companies and system structures responsible, but it does input a sense of responsibility for the world around me. I think this is an effective way to communicate the issue, yet it does ignore how the systems in the world and wealthier people without empathy are able to bypass this issue. "
student_193,I was surprised that my decisions on the meat i eat can effect someone else's life. It makes me think about all the other decisions i make that could effect someone else's life. yes it was effective because you can know how your decisons effect people ask more indepth questions  
student_194,"This quiz showed me that my consumption patterns are not sustainable. Although my choices only took 16 hours off of somebody's life, that life is directly affected by the choices that people make with larger incomes. This made me feel bad, because I don't want my choices to negatively affect another human being or animals. I do think that it was an effective way to communicate the issue because you're choosing the options that are most similar to your lifestyle. I think that I was confused on the flight connections, perhaps a more relative question. "
student_195,How did it make you feel? I feel as though it presents the information in a way that creates an emotional effect on the reader compelling them to care for the issue. Was it an effective way to communicate this issue? I believe this was a highly effective way to communicate the issue. He touched on personal issues as well as relatable content for everyday people. What could be improved?  I think this could be improved with a few other photographs and or diagrams.    
student_196,I am very surprised by the outcome of my quiz. I am shocked that through my choices I took 14.05 hours of someones life. This is very effective because it is a personalized towards how I live my life. I don't think anything needs to be improved. 
student_197,It made me feel so bad.  Seeing how much time MY choices made on someone else’s life was bizarre.  Definitely makes you think about how you can change your ways to be more sustainable to help not only your future but others. 
student_198,"The quiz slapped me in a face, being a very effective reality check. I think it was an effective way to communicate this issue because it puts the choices you make into perspective since it's bluntly telling you that your actions could be taking hours off of an innocents persons life, which no one wants to do if they can help it. What could be improved is more evidence/sources to back up how and why the impacts of your choices are so bad because added context is always important to help people retain why their choices are so unsustainable.   "
student_199,"I think that it's very easy for people to ignore how impactful our decisions have on our environment, regardless of how small we think they actually are.   I honestly felt a little guilty because there are things I could probably do in order to reduce my own carbon footprint.   I think it was an effective way to communicate this due to how straight to the point the issue was.   I think a more constant education on our effects is needed. Everyone is very ignorant about their impact it feels like we all forgot about our impact as soon as we became adults. "
student_200,"How did it make you feel? Really bad knowing I took 7-8 hours off someones life. Was it an effective way to communicate this issue? Yes it defiantly opened my eyes to how my travel effects peoples daily lives. What could be improved? I could choose options with less of a carbon footprint to better stop the spread of pollution world wide, and the impact Im having on it. "
student_202,"After completing the quiz, I was shocked to see how much of an impact my small choices made in regard to the health of someone else. It made me feel very selfish and upset about the choices I make on a day-to-day basis. I believe this was an extremely effective way to communicate the issue, as now I feel more aware of my decisions.  "
student_203,I chose either the first or second best option causing to only take off 12.84 hours off another life making me feel like I'm not doing the worst things possible and my choices are better then what I thought they would be. I feel this is an effective way to communicate because even picking some of the best issues there is still a consequence to your actions and I don't know how it could be improved to be better. 
student_204,This quiz made me feel guilty for the choices I have made in the past knowing the negative affects it had on someone else.  I think it was a very effective way to communicate this issue.  I would improve what types of foods I am consuming as well as my mode of transportation so that they are both more sustainable.  
student_205,"It was so weird, mine takes 16 hours off someones life. I never thought about how basic things like that could affect the environment so much. It for sure opened my eyes and was very effective. "
student_206,"Doing the quiz, I thought I had chosen the most environmentally friendly decisions. However, seeing that I had taken 13.57 hours off of someone's life in Asia makes me sad. This was a very effective way to communicate this issue, as it tells me my actions impact others' lives. I think that if there were more questions (larger sample size), that were related to my day to day actions, it would be more impactful.  "
student_208,"While taking this quiz I was a little confused on what the point was, but when I got to the end I realized it was how much our everyday choices impact other peoples lives.  This made me feel sad. I would say that I am a very lucky person where I am able to basically choose whatever option I wanted. In my everyday life I would also say that I usually don't think about how other people would be effected by these types of decisions.  An effective way to communicate this message is by saying that your everyday life choices impact other people in the world in ways you wouldn't normally think about.  What could be improved is the way I go about making desions in my life. Thinking about the background of my choices and what they will do to the future of our world.     "
student_209,The quiz result was a little bit shocking because I've never seem environmental impact depicted in terms of how many hours your choices take off of another person's life. I do think that this is an effective way to communicate this issue because it gives you a new perspective on the impacts of your choices. I think that we should always try to consider the impact of our choices when choosing things that could affect others or the environment and I think that this quiz is a good way to show that every choice directly impacts someone else.  
student_210,I feel awful. It's vegan time.  It's extremely blunt and I wish there was further explanation as to why my choices were the worst.  I'd like some data. 
student_211,This quiz made me feel sad that my choices took 16 hours off somebodies life due to climate change. This quiz made me aware on how our choices affect the environment. I would choose the best options next time. 
student_212,It was interesting to see the direct statistical results of my choices. This is something the world should consider when they make decisions. It was a simple and quick way to communicate an issue to the public. What could be improved is having more options.  
student_214,https://ziamehrabi.medium.com/calculate-the-human-impact-of-your-everyday-decisions-6a65d63efec9 It's kinda crazy that those simple choices can take that much off someones life. It made me feel like a little weird cause I do not think of my choices and it affects someone else's life. I could improve my choice by being more concerned. 
student_215,It was okay. It made me feel upset because i have been living in ignorance of my environmental impact. I don't know if it was the best effective way but it definitely made me understand my impact. They should ask more questions about family size.  
student_216,"Give your thoughts on this. How did it make you feel? This made me feel extremely horrible. I did not know eating a chicken breast and driving a car was sop impactful. I feel like actually so bad after seeing the results of this. Was it an effective way to communicate this issue? Yes, illustrating the effects of this really made me want to change my lifestyle and it was defiantly effective.  What could be improved? I could improve my diet and way of transportation in order to make a change.  "
student_217,"The bad thing is that I know that my choices were bad i just tried to be realistic. I always bus if i can but sometime there are time restraints. It made me feel awful. It really puts it into perspective about how impactful my life is for other people. It is really not good and makes me want to change. I think it was an effective way, i really liked it. It would be great to know how this is happening. I like it!  "
student_218,it made me change my perspective on things such as the choices I make in life and how it can effect other peoples lives wether that's in a good or bad way. maybe a change in lifestyle can be improved to help better other people and myself.  
student_219,"I feel really guilty and entitled after taking the quiz. It said I took 14hrs off of someones life. I feel bad and I feel like I need to make a change. I feel sad that my choices are impacting someone elses life. I am going to eat out less, use more reusable ways of transport, and think before i act. "
student_220,I liked how it was short because the longer it was I would click off. It made me feel like I could do something to make a change in this world that is so simple like picking the food and the transporation I take and eat. This quiz was an effective way to communicate this because it was short and simple. I think more questions and tell us why this equals to so many hours and thats the only thing that could be improved 
student_221,I was very surprised by this and it made me feel bad.  The way that they word the results to tell you how much time you are taking off someone else's life is very concerning.  I think that it is a very effective way to communicate the issue and it will make me consider my others options.  I think if more questions are asked it would make an even bigger impact 
student_222,"Made me look at my environmental footprint a lot differently rather than effecting the whole world it became more personal and even gave you a place where it would effect someones life. It was very effective, and it doesn't need to be improved. "
student_223,"I was a little disappointed in my results considering my choices. I am a vegetarian and have a plug in hybrid car and so I thought at least one of my choices would contribute to helping the climate crisis. However, this was not the case. I think that choosing my flights wisely could greatly improve my contribution to the environment and someone's life.  "
student_224,It made me feel guilt. I think this gets the point across about how our actions impact other peoples lives. I do believe that guilting people about their choices is not necessarily the best way about changes peoples choices. Most of the time the choices you made are ones you have to make. It does not exactly get to the root of the problem. 
student_225,This made me feel really bad and selfish. This was an incredibly effective way of communicating the issue because it really broke it down to a small scale that was understandable based on a single person. The last question didn't really make sense and it wasn't as much of a day-to-day decision as the other two questions.  
student_227,"This made me feel indifferent. his was quite effective at communicating an issue, however I just don't think that my single choice matters. A way to improve this would be to use a more visual presentation. "
student_228,"Food: Eggs is the 2nd best optionTransport: Bus is the 2nd best optionFlight: London-New York is the 4th best option this made me think I am not as impactful as other options, but this also made me guilty because I don't want to cause harm to the world that is already having a lot of pollution. An effective way to communicate this is by being more educated on how to find more environmental friends and a sustainable way to get your food and to transport it. My flight could be improved and my food source. "
student_229,It made me realize even more the true impact I have on other people and how it's very real and very dangerous. I think it was effective because you can see the actual numbers that your actions cause rather than just a random estimate or general idea.  
student_230,This made me concerned and realize how much three little decisions can make such a big impact. I think asking people these questions and showing how many hours or people this negatively impacts will hit them and make them realize the reactions and consiquences of their actions. being more empathetic and less self concerned will help me and hopefully I can impact others to show how detrimental the way someone eats and travels is. 
student_231,"This quiz made me realize that I should be more careful with how I go about my everyday life. When looking at some of the choices, especially being a little hungry, I chose steak, which turned out to be the worst option. I think it's essential to research and find out what we can change in our everyday lives to help better the environment and not make the worst decisions.  An effective way to communicate this issue is genuinely through word of mouth. I think discussing this issue with peers, whether in person or through the media, can help get the word out to at least one person who is willing to do more to make a change.  Our carbon footprint, gas emissions, and resource and energy use can be improved.  "
student_232,"It definitely did not make me feel good to know that my choices are harming other peoples' health. I do not want that. I do not think that anyone wants that. It is definitely an effective way to communicate the issue of the impact of overconsumption in higher income nations on less economically developed nations. It is just hard not to take the quiz and feel helpless. I don't even think that the choices I made were that bad, and I don't even know what I could do differently. "
student_233,I was really surprised. I got 13 years off someone else's life. I thought that my everyday choices were sustainable which was the main reason I was so surprised at the result. It made me feel like I should change some of my habits. I think an effective way to communicate this issue would be to create articles and post them to journals but also to social media to reach a larger group of people and inform them of the impact of their choices. I think I could drive less. 
student_234,"This made me feel a bit silly for wanting to drive and eat chicken, I didn't realize just these somewhat small choices took 16 hours off someone's life.  An effective way to communicate this issue is to talk more about driving or eating less meat, switching to vegan might be the move.  I could improved my impacts my taking public transport and being vegan.  "
student_235,"How did it make you feel? - It made me feel extremely aware and conscious of my actions. It doesn't make anyone feel good I don't think. Was it an effective way to communicate this issue? - Yes, I think this abrupt, straight-forward way of communicating people's individual impacts on the environment and others is effective. What could be improved? - I think making conscious decisions every day as an individual can improve a little. "
student_236,"Made me feel like I could do more to stop my carbon footprint from getting too big It was an affective way as it was quick and easy and told me straight up facts on what was wrong with what I chose. The connecting flight one was a little confusing, so just making it easier to understand.  "
student_237," Taking this quiz made me think differently about the effects of my everyday actions. It made me realize how large of an impact every action makes, yet people rarely consider these effects when making their choice. While taking 16 hours off of someone's life may seem like a miniscule difference, it becomes significant when many people are doing these same actions. This was definitely an effective way to communicate this issue.  The only suggestion I have would be to adjust the impact to a larger scope and incorporate the actions of other people. 16 hours off of 1 life does not seem like a lot, but the combined impact of everyone's actions is much worse, and should be shown in the quiz.   "
student_238,This opened up my eyes to how my decisons can affect someone else without me even knowing. An effective way to communicate this issue is to make it more nationally known that these issues are out there and that even a simple decison like what you are gonna eat can effect people. Public knowledge of these problems could be improved that way everyone knows that what they do has an effect on someone. 
student_239,I took too much time from someone else I wanted to make better environmental choices Yes it was Give better scenarios for each option 
student_240,"I never thought about the consequences of these choices as taking time off of other's lives. It was a bit surprising when the statistic showed up saying these choices could take 17 hours off of someone's life. This quiz was effective, I chose what I normally would and then it showed the distant effects.  Our choices effect others, even if it is minimal and distant, but it adds up over the population and throughout time. So, it is important that we advocate for these issues.  "
student_241,This frightened me because I didn't know that my day to day choices actually impacted people's life spans. It made me feel guilty but disappointed because sustainable options don't seem to be accessible. This is an effective way to communicate this issue because it makes people who take the questionnaire more conscious of their ecological footprint. I think education about and access to more sustainable options need to be improved.  
student_242,"I liked the quiz overall because I think it makes us confront the privilege we have in the choices we have available and their relitvely low direct effect on us. It made me feel disheartened to see the effects of such simple choices on other people because there is no real way to prevent it in our industrialized world sometimes. For example, I live in a very rural area without bike lanes and side walks so I have to take cars to get around a large majority of the time. I think this was a good way to communicate the issue on an elementary level to get across the basic understanding. I think it could be improved by giving a more descriptive explanation of what specifically our actions cause. "
student_243,"It made me feel like I could be doing so much more to prevent my carbon footprint, and it made me feel slightly disappointed in the continuous decisions I have made for my own convenience.  I think this was a very effective way to communicate this issue, it is quick and easily describes how much of an impact one's carbon footprint can make. I do not think there is a need to improve anything.  "
student_244,This made me feel like I need to start make a change in my lifestyle because if I am taking 13 hours off someones life it makes me sad. A good way to communicate this issue is through working with restaurants and or finding other more efficient transportation options. An effective way to improve this issue is by choosing different options when trying to go places and eating the protein that has the least effect on the environment.    
student_245,"After taking this quiz I realized I don't know how affective my decisions can be on someone else's life and it made me more aware.  Yes, I think so it gave enough detail on what my choices impacted and surprised me easily.  I think being more aware personally but also giving people the opportunity to learn about what their impact may be and how it may affect them and others including the environment.  "
student_246,"Honestly, the result of this quiz was shocking to me. The fact that my decisions took time off of someone else's life made me understand the true impact of my decisions. I am now aware of the problems I can cause due to high consumption and the difference I can make if I make sustainable decisions. The way that this was calculated honestly confused me, but I'm glad I took the quiz. "
student_247,This quiz make me feel sad that I took of 14.1 hours off someone else's life. I thought this quiz was a great way to communicate this issue because it makes it personal to the reader. I though this could be improved by having more options so we can have a more exact estimate.  
student_249,I think the aim of the quiz was to try to gain empathy for the people you affect but I think it mostly made me feel a sense of guilt although my choices weren't bad. I think it was slightly effective although there definitely would be better ways to spread awareness on this issue. I think the question about the flight should be written better but the ending question about whether I would change was interesting and impactful. 
student_250,"How did it make you feel? I was shown to take away 17 hours away from someones life, I was suprised at this and did not think everday choices would have a big impact on other peoples life. this doesnt make me feel good and In would reconsider my choices. Was it an effective way to communicate this issue? Yes, because it allowed us to choice  the options without seing the impacts, and then providing us knowledge after we found out the consequence. What could be improved? There could be more options that allow for more sustainable options and allow for change.  "
student_251,"The quiz was very interesting. I chose two of the worst options, which correlated with a greater impact. Ordinarily, I would not have considered the impacts of my choices in terms of another person's life, so I feel the quiz was very eye-opening and certainly an effective way to communicate the impacts of our choices. In the future, I will be more likely to choose options that correlate with lesser human impacts. I don't think the quiz needs to be improved; it was easy and effective.  "
student_252,It is really interesting to see how the choices we make daily have such a real effect on the world. I think an effective way to communicate this to the masses is to start campaigns to inform people about the dangers of over-consuming. 
